epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.823,0.728,0.499,0.755,815.867,201.233
1,0.822,0.718,0.528,0.803,814.275,203.692
2,0.821,0.710,0.539,0.722,821.203,196.698
3,0.750,0.603,0.700,0.819,810.276,203.298
4,0.701,0.596,0.757,0.818,809.748,198.369
5,0.660,0.470,0.794,0.921,804.716,202.890
6,0.623,0.553,0.821,0.853,807.075,197.022
7,0.616,0.442,0.827,0.925,745.583,182.455
8,0.647,0.526,0.806,0.878,662.999,170.452
9,0.601,0.581,0.834,0.821,423.457,110.271
10,0.631,0.619,0.818,0.796,415.567,106.225
