epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.725,0.266,0.724,0.968,785.923,172.018
1,0.475,0.374,0.918,0.964,750.405,172.018
2,0.417,0.339,0.943,0.973,750.596,169.847
3,0.392,0.399,0.952,0.968,834.196,181.502
4,0.373,0.330,0.960,0.963,762.766,172.018
5,0.355,0.240,0.966,0.984,762.330,173.371
6,0.343,0.249,0.969,0.986,761.558,173.260
7,0.333,0.251,0.972,0.986,846.273,172.264
8,0.323,0.213,0.975,0.990,755.572,172.148
9,0.314,0.201,0.977,0.990,756.052,172.133
10,0.304,0.163,0.979,0.991,756.282,172.114
11,0.298,0.141,0.981,0.993,843.716,174.455
12,0.292,0.144,0.982,0.993,761.952,173.300
13,0.286,0.151,0.983,0.992,759.790,173.342
14,0.281,0.210,0.984,0.986,760.596,178.375
