epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.468,0.185,0.927,0.986,437.628,111.217
1,0.359,0.175,0.965,0.989,440.428,96.234
2,0.339,0.138,0.970,0.993,432.696,110.382
3,0.310,0.119,0.977,0.995,432.631,105.490
4,0.302,0.114,0.979,0.996,440.835,99.756
5,0.298,0.115,0.980,0.996,432.486,104.064
6,0.294,0.107,0.980,0.997,433.584,103.971
7,0.292,0.108,0.981,0.997,439.293,102.990
8,0.288,0.101,0.982,0.998,428.780,102.531
9,0.287,0.103,0.982,0.998,437.232,96.239
10,0.284,0.096,0.983,0.998,435.652,109.121
11,0.282,0.095,0.983,0.998,430.193,100.452
12,0.281,0.340,0.983,0.993,440.612,96.251
13,0.278,1.657,0.984,0.963,435.036,105.824
14,0.276,1.550,0.984,0.965,430.300,105.870
