epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.823,0.726,0.502,0.756,420.073,97.684
1,0.820,0.726,0.532,0.688,416.403,108.828
2,0.810,0.714,0.552,0.593,401.444,92.170
3,0.778,0.321,0.624,0.971,413.940,92.674
4,0.373,0.194,0.963,0.994,406.092,110.351
5,0.350,0.192,0.970,0.996,394.952,97.970
6,0.343,0.196,0.972,0.996,414.079,93.054
7,0.338,0.190,0.973,0.996,403.273,104.985
8,0.341,0.192,0.974,0.996,396.258,105.310
9,0.331,0.192,0.975,0.997,409.988,98.641
10,0.328,0.187,0.976,0.996,396.231,104.973
11,0.324,0.180,0.977,0.996,402.842,99.911
12,0.322,0.178,0.978,0.996,401.198,103.680
