epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.456,0.185,0.931,0.987,417.098,111.097
1,0.384,0.178,0.958,0.987,401.896,103.503
2,0.374,0.182,0.961,0.988,413.969,96.216
3,0.358,0.156,0.966,0.992,406.367,107.617
4,0.349,0.156,0.968,0.992,400.484,104.921
5,0.344,0.148,0.969,0.993,410.429,97.228
6,0.341,0.147,0.970,0.993,399.086,105.234
7,0.340,0.158,0.970,0.993,401.885,103.161
8,0.336,0.142,0.971,0.994,411.925,102.194
9,0.332,0.135,0.972,0.995,395.951,100.766
10,0.329,0.131,0.973,0.996,409.227,92.704
11,0.326,0.134,0.974,0.996,404.472,109.495
12,0.322,0.124,0.975,0.997,394.529,99.076
13,0.319,0.115,0.976,0.997,418.487,94.303
14,0.295,0.107,0.982,0.998,401.354,104.901
15,0.275,0.090,0.986,0.999,399.915,104.536
16,0.271,0.097,0.987,0.998,412.695,99.920
17,0.266,0.125,0.988,0.996,393.920,103.245
18,0.263,2.092,0.988,0.936,404.363,99.008
