epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.663,0.492,0.788,0.925,2484.940,470.888
1,0.469,0.999,0.918,0.832,2551.407,464.957
2,0.426,0.324,0.937,0.967,2557.055,471.057
3,0.406,0.253,0.944,0.980,2518.519,482.580
4,0.403,0.591,0.945,0.947,2503.586,467.811
5,0.403,0.176,0.945,0.991,2320.573,425.884
6,0.389,0.142,0.949,0.995,2392.866,430.906
7,0.368,0.144,0.956,0.994,2364.286,409.305
8,0.360,0.260,0.959,0.987,2317.813,420.267
9,0.355,0.390,0.960,0.980,2167.233,336.169
