epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.750,0.800,0.674,0.370,2109.075,422.592
1,0.717,0.827,0.732,0.422,2160.832,435.490
2,0.674,0.841,0.779,0.287,2162.477,434.969
3,0.648,0.691,0.803,0.656,2178.928,442.406
4,0.568,0.423,0.863,0.902,2151.960,455.006
5,0.474,0.264,0.915,0.984,2115.698,426.147
6,0.424,0.252,0.938,0.978,2066.304,375.275
7,0.480,0.255,0.913,0.979,1938.467,376.967
8,0.393,0.175,0.949,0.994,1910.112,377.422
9,0.376,0.187,0.955,0.992,1912.094,358.324
10,0.398,0.155,0.951,0.995,1870.048,361.785
11,0.388,0.228,0.951,0.986,1734.514,318.767
12,0.392,0.156,0.950,0.996,1783.932,325.940
13,0.379,0.237,0.954,0.993,1700.363,328.250
14,0.363,0.134,0.959,0.997,1717.103,367.343
15,0.389,0.178,0.955,0.993,1673.867,326.441
16,0.388,0.198,0.951,0.984,1671.635,328.147
17,0.387,0.192,0.951,0.987,1654.821,347.733
