epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.674,0.780,0.770,0.827,1718.455,320.575
1,0.469,0.492,0.921,0.967,1739.718,342.945
2,0.430,1.324,0.936,0.831,1678.546,320.426
3,0.407,6.914,0.945,0.202,1675.888,320.352
4,0.383,0.203,0.954,0.985,1711.991,418.238
5,0.378,0.193,0.956,0.987,1989.233,416.302
6,0.361,0.176,0.961,0.991,1983.397,422.099
7,0.350,0.426,0.964,0.970,1699.932,307.831
8,0.348,0.154,0.965,0.993,1494.008,310.494
9,0.344,0.779,0.966,0.923,1493.071,354.677
10,0.342,0.161,0.966,0.990,1983.327,395.555
11,0.339,5.509,0.967,0.715,1996.156,396.703
