epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.255,2.045,0.971,0.981,1714.221,403.901
1,1.147,2.002,0.984,0.990,1577.035,356.471
2,1.122,1.970,0.989,0.994,1576.932,367.124
3,1.112,1.984,0.991,0.994,1559.005,412.728
4,1.105,1.969,0.992,0.995,1612.717,312.192
5,1.103,1.969,0.992,0.995,1386.784,312.455
6,1.103,1.960,0.992,0.995,1275.686,307.907
7,1.099,1.955,0.992,0.996,1412.544,315.393
8,1.100,1.955,0.993,0.996,1388.672,310.220
9,1.100,1.958,0.993,0.995,1288.958,321.113
10,1.100,1.964,0.993,0.996,1351.065,314.597
11,1.097,1.965,0.993,0.994,1422.842,324.531
