epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.835,3.093,0.962,0.964,1739.371,202.110
1,1.753,2.940,0.964,0.964,1603.347,193.521
2,1.652,2.914,0.973,0.970,1603.152,193.872
3,1.633,2.875,0.976,0.977,1602.445,194.148
4,1.621,2.883,0.979,0.975,1602.513,194.179
5,1.609,2.861,0.981,0.982,1608.086,226.459
6,1.601,2.842,0.983,0.986,1610.953,223.115
7,1.596,2.843,0.983,0.986,1610.896,224.438
8,1.470,2.137,0.981,0.978,1611.820,222.936
9,1.238,2.150,0.982,0.984,1611.863,223.169
10,1.223,2.110,0.985,0.989,1613.112,223.298
11,1.214,2.167,0.986,0.986,1612.615,224.868
12,1.204,2.135,0.988,0.988,1612.853,224.306
13,1.198,2.152,0.988,0.988,1612.701,223.287
