epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.265,2.248,0.970,0.980,1825.398,378.810
1,1.164,2.019,0.983,0.992,1613.556,363.637
2,1.120,1.998,0.990,0.994,1599.380,358.163
3,1.108,2.011,0.992,0.993,1689.951,440.173
4,1.105,1.967,0.992,0.994,1656.107,358.367
5,1.100,1.956,0.993,0.997,1602.521,365.294
6,1.099,1.952,0.993,0.997,1594.840,361.554
7,1.097,2.086,0.993,0.993,1833.484,366.023
8,1.096,1.956,0.994,0.997,1603.796,358.608
9,1.098,2.033,0.994,0.993,1593.856,361.798
