epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.710,2.334,0.967,0.965,1640.269,388.002
1,1.228,2.062,0.982,0.985,1465.022,321.572
2,1.165,2.173,0.991,0.994,1434.707,319.463
3,1.066,1.967,0.998,0.999,1433.389,317.569
4,1.025,1.935,0.999,1.000,1461.030,319.878
5,1.014,1.976,0.999,0.999,1448.148,320.440
6,1.008,1.923,1.000,1.000,1446.771,319.416
7,1.007,1.918,1.000,1.000,1451.094,320.361
8,1.002,2.008,1.000,0.998,1449.903,320.067
9,0.999,1.908,1.000,1.000,1448.368,320.467
10,0.997,1.919,1.000,1.000,1448.894,319.166
11,0.998,1.899,1.000,1.000,1446.692,318.489
12,0.992,1.919,1.000,1.000,1446.575,320.951
13,0.992,1.904,1.000,1.000,1446.969,320.625
14,0.992,1.919,1.000,0.999,1208.476,260.140
