epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,1.255,2.099,0.974,0.984,1388.678,326.248
1,1.194,2.033,0.985,0.990,1299.018,271.402
2,1.137,2.275,0.989,0.991,1362.792,321.594
3,1.090,2.223,0.994,0.994,1410.572,322.639
4,1.044,2.109,0.998,0.999,1409.983,322.680
5,1.023,2.203,0.999,0.998,1404.492,312.874
6,1.014,2.011,0.999,0.999,1372.560,246.771
7,1.007,2.055,0.999,0.999,1419.398,322.398
8,1.003,1.974,0.999,1.000,1434.768,319.991
9,0.999,2.049,0.999,0.999,1432.347,318.957
10,0.995,1.973,1.000,1.000,1460.192,321.140
11,0.992,1.985,1.000,1.000,1447.371,321.481
12,0.989,2.007,1.000,1.000,1446.136,320.440
13,0.987,2.054,1.000,1.000,1450.749,321.025
14,0.986,1.980,1.000,1.000,1448.732,321.725
15,0.983,1.969,1.000,1.000,1448.238,321.054
16,0.983,1.998,1.000,1.000,1448.739,319.797
17,0.980,1.977,1.000,1.000,1446.806,318.903
18,0.979,1.968,1.000,1.000,1446.794,321.281
19,0.978,1.949,1.000,1.000,1447.108,320.938
