epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.650,0.331,0.799,0.952,2610.024,499.293
1,0.486,0.191,0.911,0.988,2599.967,541.760
2,0.407,0.178,0.945,0.991,2673.814,483.273
3,0.392,0.258,0.950,0.980,2910.289,524.365
4,0.382,0.148,0.953,0.994,2992.770,581.647
5,0.348,0.175,0.963,0.993,3045.823,584.332
6,0.332,0.140,0.966,0.996,3047.499,630.992
7,0.320,0.220,0.969,0.987,2977.846,579.508
8,0.311,0.118,0.971,0.993,3060.207,554.785
9,0.302,0.802,0.973,0.961,3055.389,602.468
