epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.793,0.822,0.583,0.293,2226.733,517.920
1,0.716,1.028,0.735,0.297,2246.076,509.871
2,0.685,0.905,0.770,0.501,2248.370,511.482
3,0.696,0.788,0.760,0.614,2268.489,516.247
4,0.684,1.001,0.771,0.362,2259.002,514.756
5,0.676,0.930,0.780,0.519,2217.942,517.430
6,0.673,0.751,0.783,0.718,2083.382,453.313
7,0.683,1.082,0.772,0.284,2176.658,539.738
8,0.711,1.020,0.741,0.346,1744.786,377.836
9,0.689,1.045,0.767,0.346,1621.433,378.430
