epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.477,0.377,0.913,0.964,1766.945,382.520
1,0.375,0.233,0.955,0.990,1815.498,420.890
2,0.371,0.209,0.956,0.990,1736.335,348.136
3,0.362,0.212,0.959,0.990,1696.107,347.166
4,0.359,0.216,0.959,0.987,1701.149,346.826
5,0.353,0.198,0.960,0.990,1695.340,348.758
6,0.356,0.123,0.959,0.996,1695.800,349.290
7,0.372,0.272,0.955,0.966,1750.213,340.857
8,0.381,0.717,0.953,0.969,1625.634,253.929
9,0.347,0.180,0.962,0.994,1621.121,275.065
