epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.777,0.773,0.627,0.498,1507.783,365.083
1,0.723,0.791,0.726,0.535,1753.606,379.868
2,0.712,0.847,0.739,0.471,1559.619,380.254
3,0.706,0.935,0.747,0.409,1527.875,375.258
4,0.704,0.758,0.748,0.643,1666.767,361.284
5,0.702,0.793,0.752,0.651,1595.958,369.010
6,0.712,1.132,0.740,0.281,1521.353,384.981
7,0.682,0.860,0.774,0.662,1520.846,369.684
8,0.686,1.004,0.770,0.389,1749.665,382.600
9,0.665,0.764,0.791,0.708,1555.080,383.309
10,0.671,1.028,0.785,0.334,1570.437,380.001
11,0.669,0.933,0.787,0.682,1723.298,347.957
12,0.638,0.913,0.815,0.701,1589.099,354.457
