epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,2.074,8.643,0.735,0.946,619.054,89.866
1,1.444,8.015,0.953,0.980,626.208,89.732
2,1.380,8.016,0.968,0.983,611.748,88.358
3,1.355,8.024,0.975,0.984,615.512,102.555
4,1.328,8.029,0.979,0.986,621.121,90.007
5,1.304,7.980,0.982,0.988,615.356,91.303
6,1.291,7.971,0.984,0.989,615.571,89.888
7,1.282,7.978,0.986,0.989,616.674,90.202
8,1.276,7.961,0.987,0.991,628.871,90.816
9,1.275,7.964,0.987,0.990,614.334,90.085
10,1.271,7.963,0.988,0.991,613.423,89.808
11,1.264,7.958,0.988,0.991,615.433,89.273
12,1.261,7.959,0.988,0.991,627.801,89.162
13,1.247,7.963,0.988,0.989,616.301,89.962
14,1.263,7.960,0.985,0.990,624.610,104.827
