epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.775,1.074,0.368,0.490,4876.589,929.994
1,0.576,0.464,0.809,0.884,4944.983,1003.914
2,0.523,0.607,0.850,0.824,4857.980,781.677
3,0.522,0.471,0.852,0.887,3295.257,517.605
4,0.522,0.718,0.852,0.718,3289.556,518.426
5,0.567,0.508,0.819,0.866,3279.336,389.331
6,0.544,0.475,0.836,0.891,1995.871,390.493
7,0.659,0.635,0.741,0.700,1987.562,389.502
8,0.568,0.725,0.825,0.783,1998.656,390.402
9,0.571,0.542,0.836,0.839,1992.783,390.997
