epoch,train_losses,test_losses,train_roc,test_roc,train_time,test_time
0,0.457,0.647,0.895,0.876,18134.338,1215.862
1,0.243,0.551,0.977,0.923,11548.855,1211.482
2,0.216,0.295,0.983,0.967,11558.200,1213.216
3,0.232,0.242,0.980,0.979,11550.289,1219.029
4,0.309,0.442,0.963,0.966,11552.415,1218.059
5,0.181,0.412,0.988,0.965,11563.496,1213.476
6,0.209,0.242,0.984,0.991,11555.785,1215.088
7,0.536,0.592,0.867,0.874,11535.501,1217.335
8,0.446,0.456,0.892,0.897,11546.187,1219.844
9,0.371,0.596,0.930,0.892,11744.010,1218.069
