Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.00011085075893034516,0.4720683986961681,0.49800965666776764,0.05856693605653806,0.003711402061413847,0.006980451109637818,0.4723993576017131
0.6,0.00011085075893034516,0.48659538727417556,0.49946643731546997,0.013436893203883495,0.0003707116377740159,0.0007215172715803523,0.4869389721627409
0.7,0.00011085075893034516,0.49585310404652705,0.4996006182889144,0.011099899091826439,9.4285040821137e-05,0.0001869818160183922,0.496203426124197
0.8,0.00011085075893034516,0.49944578777309395,0.4996466809421842,0.0,0.0,0.0,0.4997987152034261
0.9,0.00011085075893034516,0.4999764620289731,0.4996466809421842,0.0,0.0,0.0,0.5003297644539615
0.91,0.00011085075893034516,0.4999850212911647,0.4996466809421842,0.0,0.0,0.0,0.5003383297644539
0.92,0.00011085075893034516,0.4999893009222605,0.4996466809421842,0.0,0.0,0.0,0.5003426124197002
0.93,0.00011085075893034516,0.4999935805533563,0.4996466809421842,0.0,0.0,0.0,0.5003468950749465
0.94,0.00011085075893034516,0.49999465046113023,0.4996466809421842,0.0,0.0,0.0,0.5003479657387581
0.95,0.00011085075893034516,0.49999679027667815,0.4996466809421842,0.0,0.0,0.0,0.5003501070663812
0.96,0.00011085075893034516,0.4999978601844521,0.4996466809421842,0.0,0.0,0.0,0.5003511777301927
0.97,0.00011085075893034516,0.49999893009222607,0.4996466809421842,0.0,0.0,0.0,0.5003522483940043
0.98,0.00011085075893034516,0.5,0.4996466809421842,0.0,0.0,0.0,0.5003533190578159
0.99,0.00011085075893034516,0.5,0.4996466809421842,0.0,0.0,0.0,0.5003533190578159
