Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.0008303625928350242,0.9377492993474732,0.8926444842089832,0.8957176715041719,0.9921840348122131,0.9414862758926642,0.9380240963855422
0.6,0.0008303625928350242,0.9418602099608536,0.9022999934232214,0.9093470592150511,0.9826778072141839,0.9445913634661366,0.9420662650602409
0.7,0.0008303625928350242,0.9430209964739675,0.9093959296520426,0.9230628466861097,0.9675014085520085,0.9447598534421202,0.943144578313253
0.8,0.0008303625928350242,0.91804599376872,0.8922609311480907,0.9370124096823071,0.8970018820652369,0.9165707146181925,0.9179397590361446
0.9,0.0008303625928350242,0.5048525761247086,0.507135183438627,0.9550561797752809,0.010189525168127165,0.020163920815096846,0.502355421686747
0.91,0.0008303625928350242,0.5021092836852886,0.5045716841068495,0.9756756756756757,0.004327551277286949,0.008616882884388166,0.4995963855421687
0.92,0.0008303625928350242,0.5000539445450077,0.5025777686080878,1.0,0.0001078890900154641,0.00021575490243083857,0.4975301204819277
0.93,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.94,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.95,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.96,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.97,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.98,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
0.99,0.0008303625928350242,0.5,0.5025240963855422,0.0,0.0,0.0,0.4974759036144578
