Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.001213892985406608,0.614444589847123,0.587735118996533,0.7648049073910598,0.33068457595915374,0.4617281869628696,0.6143019538188277
0.6,0.001213892985406608,0.5895893990536154,0.5678946529094154,0.7554168289733952,0.26509587543028995,0.39246524757081247,0.5894262877442273
0.7,0.001213892985406608,0.5629892222732943,0.5464829591443692,0.7343300330033004,0.1975046291118319,0.31128608262927354,0.5628055062166962
0.8,0.001213892985406608,0.5342817369745623,0.5238128989099489,0.6876377440557675,0.12573786178528376,0.2126006705869286,0.5340763765541741
0.9,0.001213892985406608,0.50636826815565,0.5038551677019113,0.5661897230293891,0.05465458748089326,0.0996863955237292,0.5061412078152753
0.91,0.001213892985406608,0.503624537952562,0.5022136121593801,0.5416599025974026,0.047388257767409986,0.08715185213602519,0.5033952042628774
0.92,0.001213892985406608,0.5008257928886956,0.5006729339270309,0.5107985480943739,0.03997280230363778,0.07414346939145125,0.5005941385435169
0.93,0.001213892985406608,0.4981060453950231,0.4993561420734044,0.4728942709803217,0.032722450349114036,0.061209444425995414,0.4978721136767318
0.94,0.001213892985406608,0.49561180022511186,0.49837554087941127,0.4276775747605899,0.02584668807686367,0.04874733185451806,0.4953756660746004
0.95,0.001213892985406608,0.49359784868948736,0.4978325249905883,0.378001628001628,0.01978579151154926,0.037603307876450616,0.4933596802841918
0.96,0.001213892985406608,0.4919345862672661,0.49767277309809343,0.3198665236562984,0.014294768349124685,0.02736653207716465,0.4916944937833037
0.97,0.001213892985406608,0.4907605163328874,0.4978976439193772,0.25487051276003586,0.009591981295370177,0.018488165589359465,0.49051865008880996
0.98,0.001213892985406608,0.4904945933757606,0.4983116774231806,0.2041606727896426,0.006550881173406618,0.012694437325085961,0.4902513321492007
0.99,0.001213892985406608,0.4910669338517636,0.4987431386984353,0.1689175835035246,0.004551885996914517,0.008864886543973502,0.4908223801065719
