Confident,Execution Time,ROC AUC,PR AUC,Precision,Recall,F1-Score,Accuracy
0.5,0.0003549556416686009,0.491637926160886,0.4961066745869042,0.4958987520594071,0.9522300513241124,0.6521653226174156,0.4918694493783304
0.6,0.0003549556416686009,0.505188067509779,0.5046420570609951,0.8467378410438908,0.01267213816145703,0.02497057089833535,0.5049404973357016
0.7,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.8,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.9,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.91,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.92,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.93,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.94,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.95,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.96,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.97,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.98,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
0.99,0.0003549556416686009,0.5,0.5002513321492007,0.0,0.0,0.0,0.4997486678507993
