Threshold,KKI,COX2,COX2_MD,DHFR,DBLP-v1,MSRC-21
0.5,0.97983,0.98345,0.986715,0.99844,0.99626,0.99708
0.6,0.97889,0.98337,0.987993,0.99857,0.98466,0.99653
0.7,0.97690,0.98334,0.988952,0.99871,0.97056,0.99559
0.8,0.97172,0.98300,0.990102,0.99885,0.96031,0.99390
0.9,0.94983,0.98189,0.991597,0.99906,0.94502,0.98954
0.91,0.94496,0.98157,0.991611,0.99909,0.93909,0.98878
0.92,0.93913,0.98126,0.991535,0.99912,0.93107,0.98786
0.93,0.93023,0.98089,0.991376,0.99916,0.92315,0.98678
0.94,0.91879,0.98042,0.991116,0.99919,0.91492,0.98546
0.95,0.90457,0.97979,0.990498,0.99923,0.90529,0.98380
0.96,0.88486,0.97901,0.989365,0.99927,0.89139,0.98150
0.97,0.85802,0.97779,0.985729,0.99931,0.87745,0.97807
0.98,0.81033,0.97507,0.971830,0.99937,0.85730,0.97227
0.99,0.71142,0.96645,0.951475,0.99934,0.82153,0.95955
