Threshold,KKI,COX2,COX2_MD,DHFR,DBLP-v1,MSRC-21
0.5,0.96473,0.97423,0.974253,0.99689,0.99548,0.99562
0.6,0.96447,0.97512,0.976766,0.99715,0.98540,0.99515
0.7,0.96350,0.97616,0.978800,0.99742,0.97399,0.99430
0.8,0.95980,0.97685,0.981339,0.99771,0.95819,0.99270
0.9,0.94082,0.97699,0.985155,0.99813,0.94596,0.98848
0.91,0.93646,0.97683,0.985362,0.99819,0.93985,0.98774
0.92,0.93122,0.97669,0.985482,0.99824,0.93238,0.98684
0.93,0.92282,0.97648,0.985497,0.99833,0.92384,0.98580
0.94,0.91194,0.97621,0.985448,0.99839,0.91199,0.98450
0.95,0.89849,0.97582,0.985076,0.99846,0.89905,0.98287
0.96,0.87956,0.97526,0.984203,0.99855,0.88606,0.98061
0.97,0.85351,0.97432,0.980998,0.99863,0.87288,0.97724
0.98,0.80665,0.97197,0.968167,0.99878,0.85358,0.97151
0.99,0.70859,0.96397,0.949430,0.99886,0.81857,0.95892
