Threshold,KKI,COX2,COX2_MD,DHFR,DBLP-v1,MSRC-21
0.5,0.97987,0.98345,0.986721,0.99844,0.96626,0.99708
0.6,0.97892,0.98337,0.987999,0.99857,0.96466,0.99653
0.7,0.97692,0.98334,0.988957,0.99870,0.96056,0.99559
0.8,0.97170,0.98300,0.990106,0.99885,0.95031,0.99390
0.9,0.94972,0.98189,0.991600,0.99906,0.93501,0.98954
0.91,0.94483,0.98157,0.991613,0.99909,0.92808,0.98878
0.92,0.93897,0.98127,0.991537,0.99912,0.92306,0.98785
0.93,0.93004,0.98089,0.991378,0.99916,0.91914,0.98678
0.94,0.91856,0.98042,0.991117,0.99919,0.91491,0.98546
0.95,0.90429,0.97979,0.990499,0.99923,0.90528,0.98380
0.96,0.88450,0.97901,0.989365,0.99927,0.89138,0.98149
0.97,0.85756,0.97779,0.985727,0.99931,0.87744,0.97807
0.98,0.80971,0.97507,0.971820,0.99937,0.85728,0.97227
0.99,0.71045,0.96646,0.951453,0.99934,0.82150,0.95954
